C:\Users\30289\miniconda3\python.exe F:/5_WaterLevel/LSTM-OCR-Test/creat_dataset.py
2020-08-07 17:39:45.880497: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'cudart64_101.dll'; dlerror: cudart64_101.dll not found
2020-08-07 17:39:45.880815: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
WARNING:tensorflow:From C:\Users\30289\miniconda3\lib\site-packages\tensorflow\python\ops\resource_variable_ops.py:1666: calling BaseResourceVariable.__init__ (from tensorflow.python.ops.resource_variable_ops) with constraint is deprecated and will be removed in a future version.
Instructions for updating:
If using Keras pass *_constraint arguments to layers.
WARNING:tensorflow:From F:/5_WaterLevel/LSTM-OCR-Test/creat_dataset.py:165: LSTMCell.__init__ (from tensorflow.python.ops.rnn_cell_impl) is deprecated and will be removed in a future version.
Instructions for updating:
This class is equivalent as tf.keras.layers.LSTMCell, and will be replaced by that in Tensorflow 2.0.
WARNING:tensorflow:From F:/5_WaterLevel/LSTM-OCR-Test/creat_dataset.py:167: dynamic_rnn (from tensorflow.python.ops.rnn) is deprecated and will be removed in a future version.
Instructions for updating:
Please use `keras.layers.RNN(cell)`, which is equivalent to this API
WARNING:tensorflow:From C:\Users\30289\miniconda3\lib\site-packages\tensorflow\python\ops\rnn_cell_impl.py:966: Layer.add_variable (from tensorflow.python.keras.engine.base_layer_v1) is deprecated and will be removed in a future version.
Instructions for updating:
Please use `layer.add_weight` method instead.
WARNING:tensorflow:From C:\Users\30289\miniconda3\lib\site-packages\tensorflow\python\ops\rnn_cell_impl.py:970: calling Zeros.__init__ (from tensorflow.python.ops.init_ops) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Call initializer instance with the dtype argument instead of passing it to the constructor
2020-08-07 17:39:48.920306: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library nvcuda.dll
2020-08-07 17:39:50.035381: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1561] Found device 0 with properties: 
pciBusID: 0000:01:00.0 name: GeForce GTX 1660 Ti computeCapability: 7.5
coreClock: 1.455GHz coreCount: 24 deviceMemorySize: 6.00GiB deviceMemoryBandwidth: 268.26GiB/s
2020-08-07 17:39:50.039286: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'cudart64_101.dll'; dlerror: cudart64_101.dll not found
2020-08-07 17:39:50.045218: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library cublas64_10.dll
2020-08-07 17:39:50.050360: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library cufft64_10.dll
2020-08-07 17:39:50.052785: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library curand64_10.dll
2020-08-07 17:39:50.058824: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library cusolver64_10.dll
2020-08-07 17:39:50.062497: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library cusparse64_10.dll
2020-08-07 17:39:50.080999: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library cudnn64_7.dll
2020-08-07 17:39:50.081240: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1598] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2020-08-07 17:39:50.332227: I tensorflow/core/platform/cpu_feature_guard.cc:143] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
2020-08-07 17:39:50.340603: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x1a25d96dae0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2020-08-07 17:39:50.340972: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version
2020-08-07 17:39:50.341246: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1102] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-08-07 17:39:50.341461: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1108]      
Epoch:1;steps:10/50000;train_cost:19.61959638595581;val_cost:4.8216934
Epoch:2;steps:20/50000;train_cost:4.432072949409485;val_cost:4.086005
Epoch:3;steps:30/50000;train_cost:4.132657146453857;val_cost:4.2411585
Epoch:4;steps:40/50000;train_cost:4.566765284538269;val_cost:4.8609467
Epoch:5;steps:50/50000;train_cost:4.233850502967835;val_cost:4.2291427
Epoch:6;steps:60/50000;train_cost:4.267573642730713;val_cost:4.454231
Epoch:7;steps:70/50000;train_cost:4.209603691101075;val_cost:4.7397423
Epoch:8;steps:80/50000;train_cost:4.180154776573181;val_cost:3.8922954
Epoch:9;steps:90/50000;train_cost:4.060084342956543;val_cost:4.2734056
Epoch:10;steps:100/50000;train_cost:4.127476978302002;val_cost:4.7740517
len(original_list) 32 len(detected_list) 1  test and detect length desn't match
Epoch:11;steps:110/50000;train_cost:4.240791177749633;val_cost:3.9250052
Epoch:12;steps:120/50000;train_cost:4.1899150848388675;val_cost:4.388885
Epoch:13;steps:130/50000;train_cost:4.102812337875366;val_cost:4.0967298
Epoch:14;steps:140/50000;train_cost:3.7408890962600707;val_cost:3.3782396
Epoch:15;steps:150/50000;train_cost:4.103250503540039;val_cost:4.74167
Epoch:16;steps:160/50000;train_cost:4.151571416854859;val_cost:4.1881385
Epoch:17;steps:170/50000;train_cost:3.916222095489502;val_cost:4.301433
Epoch:18;steps:180/50000;train_cost:4.039662313461304;val_cost:4.5792847
Epoch:19;steps:190/50000;train_cost:3.9764901876449583;val_cost:4.4067802
Epoch:20;steps:200/50000;train_cost:3.670986270904541;val_cost:4.0005655
len(original_list) 32 len(detected_list) 2  test and detect length desn't match
Epoch:21;steps:210/50000;train_cost:3.9449514865875246;val_cost:3.8170488
Epoch:22;steps:220/50000;train_cost:3.8930160284042357;val_cost:3.938426
Epoch:23;steps:230/50000;train_cost:4.002269506454468;val_cost:3.997321
Epoch:24;steps:240/50000;train_cost:4.057175350189209;val_cost:3.2130623
Epoch:25;steps:250/50000;train_cost:3.9308421134948732;val_cost:3.2288299
Epoch:26;steps:260/50000;train_cost:3.91513307094574;val_cost:3.9316883
Epoch:27;steps:270/50000;train_cost:3.723710560798645;val_cost:3.731019
Epoch:28;steps:280/50000;train_cost:4.0364549398422245;val_cost:3.5218894
Epoch:29;steps:290/50000;train_cost:3.819751024246216;val_cost:3.320613
Epoch:30;steps:300/50000;train_cost:3.9578776597976684;val_cost:3.497263
len(original_list) 32 len(detected_list) 2  test and detect length desn't match
Epoch:31;steps:310/50000;train_cost:3.8783742666244505;val_cost:3.9286675
Epoch:32;steps:320/50000;train_cost:3.8215898752212523;val_cost:3.6486688
Epoch:33;steps:330/50000;train_cost:3.8678720712661745;val_cost:3.6337328
Epoch:34;steps:340/50000;train_cost:3.5767308473587036;val_cost:3.5273614
Epoch:35;steps:350/50000;train_cost:3.698583483695984;val_cost:4.1229134
Epoch:36;steps:360/50000;train_cost:3.988151478767395;val_cost:4.1610007
Epoch:37;steps:370/50000;train_cost:3.905304217338562;val_cost:4.1165085
Epoch:38;steps:380/50000;train_cost:3.775405740737915;val_cost:3.277827
Epoch:39;steps:390/50000;train_cost:3.8671853065490724;val_cost:3.8806787
Epoch:40;steps:400/50000;train_cost:3.684598445892334;val_cost:3.8552918
len(original_list) 32 len(detected_list) 5  test and detect length desn't match
Epoch:41;steps:410/50000;train_cost:3.7130016326904296;val_cost:3.1889079
Epoch:42;steps:420/50000;train_cost:3.7603094816207885;val_cost:4.316269
Epoch:43;steps:430/50000;train_cost:3.7293299436569214;val_cost:3.8950546
Epoch:44;steps:440/50000;train_cost:3.8396095514297484;val_cost:4.4840155
Epoch:45;steps:450/50000;train_cost:3.554152417182922;val_cost:3.3584044
Epoch:46;steps:460/50000;train_cost:3.8192322731018065;val_cost:3.218367
Epoch:47;steps:470/50000;train_cost:3.5830082654953004;val_cost:4.252934
Epoch:48;steps:480/50000;train_cost:3.7151926040649412;val_cost:3.8915172
Epoch:49;steps:490/50000;train_cost:3.617123174667358;val_cost:3.0766106
Epoch:50;steps:500/50000;train_cost:3.778730607032776;val_cost:3.8541565
len(original_list) 32 len(detected_list) 5  test and detect length desn't match
Epoch:51;steps:510/50000;train_cost:3.5816819429397584;val_cost:3.3171415
Epoch:52;steps:520/50000;train_cost:3.6867308378219605;val_cost:3.4996836
